,y,zhan,zhang,mao,arima
200,7865.0,7866.578039862253,7832.0,7844.0,7871.5782184824175
201,7942.0,7880.243079599749,7855.8,7857.333333333333,7878.951439187868
202,7939.0,7961.955395286002,7947.166666666667,7946.428571428572,7980.407875015305
203,7959.0,7955.617585096134,7936.0,7937.5,7962.55687965302
204,8007.0,7976.967320962494,7965.0,7964.333333333333,7981.2549640905745
205,8050.0,8026.844967780146,8017.666666666667,8016.6,8033.273661425153
206,8045.0,8071.050849503595,8063.9,8062.636363636364,8075.910411824937
207,8092.0,8063.0781708053655,8040.0,8042.5,8061.089954213899
208,8089.0,8112.704788573033,8107.083333333333,8105.923076923077,8118.3596589807075
209,8090.0,8107.175726628334,8086.0,8087.5,8105.8601098608615
210,8094.0,8107.110886453798,8089.0,8089.333333333333,8107.008651390621
211,8109.0,8110.679439161153,8094.666666666667,8094.5,8111.135266480569
212,8112.0,8125.71967501008,8113.25,8112.4,8128.02453126579
213,8141.0,8126.742225769406,8115.0,8113.5,8128.478746651462
214,8185.0,8158.522805225427,8149.166666666667,8148.0,8162.406955459704
215,8293.0,8204.933239750668,8198.285714285714,8196.625,8209.629033445844
216,8362.0,8314.74222901401,8312.1,8311.190476190477,8332.428902580927
217,8557.0,8384.577069945655,8384.63829787234,8384.166666666666,8395.689429545087
218,8623.0,8586.55332489798,8583.229166666666,8582.69387755102,8627.374715972206
219,8602.0,8652.119244778727,8689.0,8656.0,8686.124781239616
220,8551.0,8623.0159620582,8581.0,8591.5,8618.045232053759
221,8549.0,8563.50214308297,8500.0,8525.5,8547.87626354707
222,8533.0,8564.2449256192,8522.5,8531.333333333334,8570.226470565227
223,8534.0,8545.347763330752,8510.0,8515.75,8554.683041079514
224,8528.0,8549.199542243792,8517.0,8520.4,8545.346937149458
225,8574.0,8543.121610320924,8512.166666666666,8514.42857142857,8547.603984124908
226,8578.0,8592.693506797463,8567.0,8567.875,8599.863454529903
227,8566.0,8595.698850269813,8572.375,8573.0,8599.848398117276
